smiles,group,drugbank
CC(C)(C)S(=O)(=O)CC(Cc1ccccc1)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(CC1CCCCC1)C(O)C(O)C1CC1,test,-1
COc1ccnc(C[S+]([O-])c2nc3cc(OC(F)F)ccc3[nH]2)c1OC,test,-1
Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1,test,-1
CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,test,-1
CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,test,-1
CN=C(NC)NCc1ccccc1,test,-1
COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,test,-1
CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,test,-1
Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2CC1C(=O)NC(C)(C)C,test,-1
CCC(NC(C)C)C(O)c1ccc(O)c(O)c1,test,-1
CCc1c(C)cn(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)c1O,test,-1
C[C@H]1C[C@H]2[C@@H]3CC(F)=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,test,-1
CC(C)(C)NC(=O)C1CN(Cc2cccnc2)CCN1C[C@@H](O)CC(Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,test,-1
CNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NC)CC(=O)O)CC(=O)O,test,-1
N=C(N)NCC1COC2(CCCCC2)O1,test,-1
CCC(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,test,-1
FC(F)OC(F)(F)C(F)Cl,test,-1
CN(C)CCn1nnnc1SC=C1CSC2C(NC(=O)Cc3csc(N)n3)C(=O)N2C1C(=O)O,test,-1
CC(C)C[C@H](CN)CC(=O)O,test,-1
CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,test,-1
CN1C(CCl)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O,test,-1
Nc1ccc(C(=O)O)c(O)c1,test,-1
CCOc1ccccc1O[C@H](c1ccccc1)[C@H]1CNCCO1,test,-1
Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1,test,-1
O=C(CCBr)N1CCN(C(=O)CCBr)CC1,test,-1
CCC(C)C1(CC)C(=O)NC(=O)NC1=O,test,-1
Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,test,-1
Clc1ccc(CON=C(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,test,-1
C[C@@H]1C[C@H]2[C@H]3[C@H]([C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO)[C@@]1(C)C=CC(=O)C=C1C[C@H]3Cl,test,-1
C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,test,-1
Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1,test,-1
COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1,test,-1
Nc1ccc(O)c(C(=O)O)c1,test,-1
CN1[C@H]2CC[C@@H]1C[C@H](OC(c1ccccc1)c1ccccc1)C2,test,-1
Oc1cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2[nH]1,test,-1
CCC(CO)NC(=O)C1=CC2c3cccc4c3c(cn4C)C[C@H]2N(C)C1,test,-1
